Source     RA            DEC           Sp.type   Mv      SiC        PAH1_1     PAH1       ARIII      SIV_1      SIV        PAH2_1     SIV_2      PAH2       PAH2_2     NEII_1     NEII       NEII_2     Q0         QH2        Q1         Q2         Q3         Q4         Q7         Q8         Error
HD37984    05 42 28.626 +01 28 28.57   K1III     6.069   4.483430   8.283626   7.714141   7.116510   6.043355   5.581172   5.339580   5.050646   4.905382   4.227325   3.984369   3.804041   3.671710   2.270502   2.127750   2.010412   1.826363   1.685044   1.528359   1.201632   1.066561   .1665E+01
HD39425    05 50 57.594 -35 46 06.19   K1.5III    4.28  19.333567  35.718884  33.265995  30.682158  26.057705  24.073551  23.027504  21.784004  21.154642  18.229242  17.180872  16.403763  15.834682   9.793167   9.175910   8.669263   7.876366   7.266655   6.591362   5.181507   4.599529   .1884E+01
HD41047    06 01 16.306 -33 54 42.72   K5III     7.148   6.584916  11.397057  10.787503  10.104674   8.634223   8.118567   7.811140   7.415260   7.200761   6.207559   5.853304   5.590439   5.391940   3.324532   3.106595   2.917322   2.617508   2.425848   2.239115   1.765236   1.564186   .1793E+01
HD49293    06 47 51.640 +02 24 43.65   K0+IIIa   5.597   4.867956   9.609370   8.905034   8.150846   6.608359   6.098732   5.826349   5.482867   5.314088   4.586552   4.286744   4.148388   4.018399   2.497105   2.337247   2.192105   1.956752   1.796682   1.644919   1.291248   1.146157   .1990E+01
HD49968    06 51 59.994 +23 36 05.96   K5III     7.184   4.003648   6.929755   6.558320   6.143903   5.249485   4.935606   4.749257   4.508593   4.377900   3.774022   3.558676   3.398622   3.278201   2.021345   1.888926   1.773614   1.591629   1.474563   1.361555   1.073128   0.951047   .1613E+01
HD61935    07 41 14.835 -09 33 04.19   K0III      4.95   6.938259  13.696497  12.693023  11.618176   9.419907   8.692388   8.304434   7.814844   7.574175   6.537724   6.109018   5.914429   5.727024   3.559177   3.331264   3.124487   2.789236   2.560533   2.344230   1.840416   1.633714   .1516E+01
HD71095    08 25 35.537 +02 06 08.20   K5III     7.280   4.314729   7.467733   7.068430   6.621544   5.657555   5.319056   5.118316   4.858909   4.718133   4.067250   3.835235   3.662909   3.532966   2.178307   2.035767   1.911523   1.714994   1.589257   1.467253   1.156580   1.025008   .1758E+01
HD75691    08 50 31.935 -27 42 35.59   K2.5III   5.311  11.440100  20.460875  19.007429  17.842104  15.616329  14.500580  13.708345  12.842254  12.483956  10.794610  10.167855   9.708447   9.374856   5.841922   5.469322   5.131075   4.582011   4.208260   3.853876   3.027199   2.687644   .1781E+01
HD76110    08 52 48.074 -38 43 27.17   M0III     7.367   6.828215  11.447329  10.898786  10.183830   8.994996   8.420770   8.093731   7.632678   7.430624   6.454216   6.075359   5.801898   5.602962   3.497052   3.274166   3.072009   2.743927   2.520377   2.308474   1.814156   1.610906   .1781E+01
HD79554    09 15 13.842 +14 56 29.32   K1III     6.699   3.896854   7.239312   6.620018   6.044690   5.135709   4.767610   4.575135   4.352385   4.234402   3.694735   3.504141   3.356278   3.243868   2.012334   1.886996   1.783563   1.621605   1.496470   1.357958   1.068385   0.948554   .1734E+01
HD81420    09 25 24.032 -05 07 02.80   K5III     7.138   5.027909   8.701504   8.236575   7.716072   6.592353   6.198230   5.964071   5.661921   5.497793   4.739485   4.469090   4.268184   4.116947   2.538437   2.372179   2.227653   1.998607   1.852010   1.709795   1.347708   1.194292   .1602E+01
HD82660    09 32 55.774 -13 31 00.58   K5III     7.482   3.619972   6.264466   5.930221   5.555636   4.746398   4.462579   4.293996   4.076894   3.958576   3.412312   3.217647   3.073025   2.964107   1.827401   1.708225   1.603598   1.438990   1.333373   1.231075   0.970314   0.859966   .1835E+01
HD83425    09 38 27.295 +04 38 57.32   K3III     6.032   7.951490  14.220880  13.211325  12.402008  10.854229  10.079247   9.527927   8.925599   8.677136   7.502213   7.067246   6.747457   6.516357   4.060356   3.801399   3.566253   3.184743   2.924624   2.678594   2.103957   1.868065   .1652E+01
