ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,gal_contam,mp_flg,dist,angle,j_h,h_k,j_k
13.025198,-72.869232,0.09,0.08,176,00520604-7252092,15.564,0.058,0.059,20.7,15.314,0.117,0.117,10.8,15.174,0.146,0.147,7.0,ABC,222,111,000,560606,0,0,0.547348,181.332129,0.25,0.14,0.39
13.028918,-72.871338,0.08,0.06,2,00520694-7252168,14.907,0.04,0.042,38.0,14.446,0.053,0.054,24.0,14.399,0.084,0.084,14.2,AAA,222,111,000,663606,0,0,9.029718,154.189756,0.461,0.047,0.508
