ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,gal_contam,mp_flg,dist,angle,j_h,h_k,j_k
12.428191,-73.288399,0.12,0.11,33,00494276-7317182,13.6,,,,13.162,,,,14.305,0.095,0.095,16.0,UUA,662,002,00c,000066,0,0,0.540103,173.285836,,,
12.425153,-73.28875,0.12,0.1,140,00494203-7317195,13.444,,,,12.938,,,,13.153,0.051,0.052,46.3,UUA,662,002,00c,000055,0,0,3.568929,239.710154,,,
12.425783,-73.286644,0.27,0.23,80,00494218-7317119,16.524,0.234,0.235,8.6,15.729,,,,15.375,,,,DUU,200,100,c00,050000,0,0,6.271406,337.204109,,,
12.423706,-73.289734,0.1,0.09,82,00494168-7317230,15.967,0.087,0.087,14.3,15.309,0.11,0.111,10.8,13.569,,,,ABU,220,110,cc0,555500,0,0,7.036584,220.601336,0.658,,
