ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,gal_contam,mp_flg,dist,angle,j_h,h_k,j_k
13.768903,-72.777061,0.09,0.07,2,00550453-7246374,14.518,0.03,0.032,56.3,14.57,0.049,0.05,22.2,14.58,0.087,0.088,12.4,AAA,222,111,0,662604,0,0,0.127062,208.564946,-0.052,-0.01,-0.062
13.025198,-72.869232,0.09,0.08,176,00520604-7252092,15.564,0.058,0.059,20.7,15.314,0.117,0.117,10.8,15.174,0.146,0.147,7.0,ABC,222,111,0,560606,0,0,0.547348,181.332129,0.25,0.14,0.39
12.425783,-73.286644,0.27,0.23,80,00494218-7317119,16.524,0.234,0.235,8.6,15.729,,,,15.375,,,,DUU,200,100,c00,50000,0,0,6.271406,337.204109,,,
